book_img_url,book_name,price,upc,product_type,availibility
http://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,A Light in the Attic,£51.77,a897fe39b1053632,Books,In stock (22 available)
http://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,Soumission,£50.10,6957f44c3847a760,Books,In stock (20 available)
http://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,Sharp Objects,£47.82,e00eb4fd7b871a48,Books,In stock (20 available)
http://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,The Requiem Red,£22.65,f77dbf2323deb740,Books,In stock (19 available)
http://books.toscrape.com/media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,e72a5dfc7e9267b2,Books,In stock (19 available)
http://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,e10e1e165dc8be4a,Books,In stock (19 available)
http://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,Tipping the Velvet,£53.74,90fa61229261140a,Books,In stock (20 available)
http://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,The Dirty Little Secrets of Getting Your Dream Job,£33.34,2597b5a345f45e1b,Books,In stock (19 available)
http://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,Sapiens: A Brief History of Humankind,£54.23,4165285e1663650f,Books,In stock (20 available)
http://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,The Black Maria,£52.15,1dfe412b8ac00530,Books,In stock (19 available)
http://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,0312262ecafa5a40,Books,In stock (19 available)
http://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,Shakespeare's Sonnets,£20.66,30a7f60cd76ca58c,Books,In stock (19 available)
http://books.toscrape.com/media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,Set Me Free,£17.46,ce6396b0f23f6ecc,Books,In stock (19 available)
http://books.toscrape.com/media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,Libertarianism for Beginners,£51.33,a18a4f574854aced,Books,In stock (19 available)
http://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,e30f54cea9b38190,Books,In stock (19 available)
